fighter_id,name,win,lose,draw,nc,height,weight,reach,stance,dob,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,last_updated
29,Bubba Pugh,3,3,0,0,"5' 10""",185 lbs.,nan,,nan,2.87,67%,2.60,23%,4.00,57%,80%,0.0,2017-12-09 13:04:10.651136
30,Claudio Puelles,8,2,0,0,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",4.19,42%,8.10,53%,2.17,16%,0%,0.0,2017-12-09 13:04:13.519035
31,Lucie Pudilova,7,2,0,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 13, 1994",5.07,40%,4.67,54%,0.00,0%,87%,1.0,2017-12-09 13:04:16.183932
32,Daniel Puder,8,0,0,0,"6' 3""",235 lbs.,nan,Orthodox,"Oct 09, 1981",2.77,68%,1.17,38%,1.21,50%,81%,9.0,2017-12-09 13:04:18.227025
33,Cole Province,6,2,0,1,"5' 9""",145 lbs.,"68""",Orthodox,"Jan 17, 1981",1.47,44%,2.72,43%,2.40,50%,83%,1.0,2017-12-09 13:04:21.012478
34,Joe Proctor,11,5,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Aug 10, 1985",3.39,36%,3.93,59%,0.00,0%,70%,1.8,2017-12-09 13:04:23.583563
35,Brent Primus,8,0,0,0,"5' 10""",155 lbs.,nan,,"Apr 12, 1985",1.73,39%,2.27,59%,5.00,38%,0%,2.0,2017-12-09 13:04:26.03716
36,Shane Primm,6,5,0,0,"6' 3""",205 lbs.,nan,Orthodox,"Jul 30, 1984",0.83,26%,2.25,62%,1.78,20%,0%,0.0,2017-12-09 13:04:28.672845
37,Niko Price,10,1,0,1,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",2.52,25%,4.69,55%,0.59,16%,0%,1.2,2017-12-09 13:04:31.933316
38,Chris Price,18,3,0,0,"6' 2""",185 lbs.,nan,Southpaw,"Nov 09, 1982",1.44,66%,2.59,48%,0.00,0%,33%,2.2,2017-12-09 13:04:33.693262
39,Dorian Price,8,4,0,0,"6' 3""",170 lbs.,nan,Southpaw,"Aug 20, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:04:36.333909
40,Philip Preece,10,14,0,0,"5' 8""",205 lbs.,nan,Orthodox,nan,0.80,72%,0.70,63%,0.00,0%,0%,0.0,2017-12-09 13:04:39.12288
41,Michel Prazeres,23,2,0,0,"5' 6""",155 lbs.,"67""",Orthodox,"Jul 25, 1981",2.56,46%,2.40,60%,4.44,38%,46%,0.4,2017-12-09 13:04:41.987728
42,Carlo Prater,30,12,1,0,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981",2.03,47%,4.07,35%,0.43,9%,57%,1.7,2017-12-09 13:04:43.420126
43,Trevor Prangley,23,8,1,0,"6' 1""",185 lbs.,"75""",Orthodox,"Aug 24, 1972",2.59,60%,2.02,48%,3.38,55%,74%,1.0,2017-12-09 13:04:46.495539
44,Wagner Prado,8,2,0,1,"6' 0""",205 lbs.,"74""",Southpaw,"Dec 30, 1986",1.72,40%,3.06,50%,0.00,0%,22%,0.0,2017-12-09 13:04:48.743365
45,Marcin Prachnio,13,2,0,0,"6' 3""",205 lbs.,nan,,"Jul 14, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:04:50.585147
46,Devin Powell,8,3,0,0,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",2.17,40%,3.50,43%,0.00,0%,0%,1.0,2017-12-09 13:04:52.428236
47,Ruan Potts,8,4,0,0,"6' 2""",247 lbs.,"75""",Orthodox,"Feb 23, 1978",0.85,37%,5.92,22%,0.75,16%,33%,2.3,2017-12-09 13:04:54.27578
48,Parker Porter,6,4,0,0,nan,260 lbs.,nan,,nan,8.54,47%,6.37,64%,1.91,100%,0%,1.9,2017-12-09 13:04:56.319104
49,Felipe Portela,7,1,0,0,nan,170 lbs.,nan,,"Nov 23, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:04:59.187631
50,Santiago Ponzinibbio,26,3,0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",4.05,38%,4.13,62%,0.19,16%,60%,0.0,2017-12-09 13:05:01.854612
51,Mike Polchlopek,1,1,0,0,"6' 4""",285 lbs.,nan,Orthodox,"Dec 27, 1965",2.00,38%,1.33,57%,0.00,0%,0%,0.0,2017-12-09 13:05:05.536035
52,Brandon Polcare,1,1,0,0,nan,125 lbs.,nan,,nan,0.43,50%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:06.77123
53,John Polakowski,2,2,0,0,"5' 10""",155 lbs.,nan,Orthodox,"Jun 21, 1981",0.14,4%,2.05,44%,0.00,0%,75%,2.0,2017-12-09 13:05:09.073318
54,Igor Pokrajac,28,13,0,1,"6' 0""",205 lbs.,"76""",Orthodox,"Jan 02, 1979",2.25,45%,4.26,40%,0.87,29%,51%,0.2,2017-12-09 13:05:11.893396
55,Dustin Poirier,22,5,0,1,"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.08,50%,3.42,57%,1.99,45%,67%,1.3,2017-12-09 13:05:13.542677
56,Ross Pointon,6,13,0,0,"5' 8""",170 lbs.,nan,Orthodox,"Feb 18, 1980",2.62,23%,2.77,58%,1.19,100%,0%,0.0,2017-12-09 13:05:15.981156
57,Dmitry Poberezhets,24,5,1,1,"6' 3""",237 lbs.,nan,,"Jun 11, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:18.640409
58,Liu Pingyuan,11,5,0,0,"5' 8""",135 lbs.,"70""",Orthodox,"Feb 13, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:21.510905
59,Daniel Pineda,18,11,0,0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 06, 1985",2.99,43%,2.51,47%,1.46,25%,48%,2.0,2017-12-09 13:05:23.768238
60,Sean Pierson,14,6,0,0,"6' 0""",170 lbs.,"76""",Southpaw,"Mar 10, 1976",3.84,39%,3.73,64%,0.39,18%,66%,0.4,2017-12-09 13:05:25.8138
61,Joao Pierini,4,1,0,0,"6' 1""",155 lbs.,nan,Switch,"Dec 11, 1971",0.76,14%,4.56,33%,0.00,0%,0%,0.0,2017-12-09 13:05:28.475165
62,Mike Pierce,17,7,0,0,"5' 8""",170 lbs.,"70""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2,2017-12-09 13:05:31.759065
63,Nick Piedmont,12,7,1,0,"5' 10""",145 lbs.,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:33.387955
64,Oskar Piechota,10,0,1,0,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.73,60%,1.13,71%,1.00,33%,0%,3.0,2017-12-09 13:05:35.845771
65,Jamie Pickett,7,2,0,0,"6' 2""",185 lbs.,"80""",Southpaw,"Aug 29, 1988",1.02,41%,2.64,45%,6.10,40%,0%,0.0,2017-12-09 13:05:38.509722
66,Brad Pickett,26,14,0,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978",3.02,31%,4.63,55%,2.47,44%,58%,0.4,2017-12-09 13:05:40.977519
67,Vinc Pichel,10,1,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.35,50%,2.84,54%,6.69,69%,16%,0.4,2017-12-09 13:05:43.427097
68,Adam Piccolotti,9,0,0,0,"5' 11""",155 lbs.,nan,,"Oct 23, 1988",4.61,50%,2.83,71%,2.96,60%,100%,3.0,2017-12-09 13:05:45.677073
69,Nick Pica,5,1,0,0,"5' 10""",185 lbs.,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:48.094811
70,Kyler Phillips,4,0,0,0,"5' 8""",135 lbs.,nan,Orthodox,"Jun 12, 1995",18.26,56%,2.61,50%,0.00,0%,100%,0.0,2017-12-09 13:05:49.778938
71,John Phillips,21,6,0,1,nan,205 lbs.,nan,,"Jun 09, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:05:52.845112
72,Elizabeth Phillips,5,4,0,0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",2.60,33%,3.07,58%,0.75,25%,53%,0.2,2017-12-09 13:05:55.71396
73,Aaron Phillips,8,2,0,0,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989",1.87,59%,3.33,40%,0.00,0%,35%,0.5,2017-12-09 13:05:58.31634
74,Dave Phillips,7,5,0,0,"6' 0""",185 lbs.,nan,Orthodox,"Jan 12, 1980",0.00,0%,2.00,25%,0.00,0%,0%,10.0,2017-12-09 13:06:01.037956
75,Wayne Phillips,5,4,0,0,nan,185 lbs.,nan,,"Jun 17, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:06:03.497622
76,Costas Philippou,13,5,0,1,"5' 11""",185 lbs.,"73""",Orthodox,"Nov 29, 1979",2.19,35%,2.73,54%,0.40,42%,65%,0.3,2017-12-09 13:06:05.958631
77,Nam Phan,18,14,0,0,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983",4.52,37%,6.55,59%,0.18,18%,60%,0.2,2017-12-09 13:06:08.628087
78,Cody Pfister,12,6,1,0,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",1.41,25%,2.80,51%,2.82,30%,0%,0.0,2017-12-09 13:06:10.45927
79,Dino Pezao,1,2,0,0,nan,205 lbs.,nan,Orthodox,nan,0.66,30%,3.28,31%,0.00,0%,0%,0.0,2017-12-09 13:06:12.097048
80,Forrest Petz,24,9,0,0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1975",2.27,29%,2.20,57%,1.30,100%,66%,0.0,2017-12-09 13:06:13.942012
81,Sergio Pettis,16,3,0,0,"5' 6""",125 lbs.,"69""",Orthodox,"Aug 18, 1993",3.62,36%,2.56,66%,1.09,39%,64%,0.5,2017-12-09 13:06:17.016918
82,Anthony Pettis,20,7,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",2.81,45%,2.82,56%,0.82,54%,58%,1.2,2017-12-09 13:06:19.122074
83,Peter Petties,5,3,0,1,"5' 11""",145 lbs.,"72""",Southpaw,"Dec 20, 1990",2.61,29%,8.24,48%,0.00,0%,0%,0.0,2017-12-09 13:06:19.879142
84,Seth Petruzelli,14,6,0,0,"6' 0""",205 lbs.,"76""",Orthodox,"Dec 03, 1979",2.17,41%,2.08,55%,0.46,50%,47%,2.3,2017-12-09 13:06:22.339931
85,Steven Peterson,15,5,0,0,"5' 10""",135 lbs.,"69""",Orthodox,"May 29, 1990",5.47,39%,5.13,50%,2.00,16%,0%,0.0,2017-12-09 13:06:23.771118
86,Cory Peterson,2,1,0,0,"6' 11""",400 lbs.,nan,Orthodox,nan,2.17,60%,6.51,40%,0.00,0%,0%,0.0,2017-12-09 13:06:26.752979
87,Tommy Petersen,2,3,0,0,nan,155 lbs.,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:06:29.708892
88,Tony Petarra,2,4,1,0,"5' 11""",196 lbs.,nan,Orthodox,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:06:33.187665
89,Leiticia Pestova,0,2,0,0,"5' 6""",135 lbs.,nan,Orthodox,"Jan 15, 1984",0.00,0%,24.62,44%,0.00,0%,0%,0.0,2017-12-09 13:06:34.926498
90,Viktor Pesta,10,4,0,0,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 15, 1990",1.58,36%,2.54,56%,3.29,28%,100%,0.0,2017-12-09 13:06:38.109014
91,Mike Perry,11,1,0,0,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",4.79,45%,4.45,60%,0.00,0%,76%,0.0,2017-12-09 13:06:40.976412
92,Hernani Perpetuo,17,5,0,1,"6' 0""",170 lbs.,"74""",Orthodox,"May 24, 1985",2.73,29%,4.37,55%,0.00,0%,37%,0.5,2017-12-09 13:06:43.905363
93,Thiago Perpetuo,9,4,1,0,"5' 10""",170 lbs.,"71""",Orthodox,"Dec 14, 1987",5.39,69%,3.51,51%,2.82,50%,66%,0.0,2017-12-09 13:06:46.147043
94,Anthony Perosh,15,10,0,0,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2.27,43%,3.77,53%,2.03,22%,33%,1.1,2017-12-09 13:06:49.381526
95,Markus Perez,9,0,0,0,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:06:51.520566
96,Alex Perez,18,4,0,0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.48,33%,3.45,37%,0.00,0%,100%,5.2,2017-12-09 13:06:54.081558
97,Jose Perez,1,0,0,0,nan,nan,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:06:55.514092
98,Frankie Perez,10,4,0,0,"5' 11""",155 lbs.,"73""",Orthodox,"May 11, 1989",1.64,41%,2.17,54%,1.75,41%,50%,0.3,2017-12-09 13:06:58.383818
99,Alejandro Perez,19,6,1,0,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.91,38%,2.94,64%,0.76,25%,58%,0.2,2017-12-09 13:07:00.228218
100,Erik Perez,17,6,0,0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,3.16,55%,69%,0.2,2017-12-09 13:07:02.483704
101,Philip Perez,7,5,1,2,"5' 5""",155 lbs.,nan,Southpaw,nan,1.36,100%,0.68,66%,10.23,100%,0%,10.2,2017-12-09 13:07:05.140712
102,Rolando Perez,6,5,2,0,"5' 8""",135 lbs.,nan,Orthodox,nan,4.23,36%,4.83,63%,0.00,0%,100%,0.0,2017-12-09 13:07:07.599717
103,Viviane Pereira,13,1,0,0,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",2.62,35%,4.40,52%,0.33,100%,28%,0.3,2017-12-09 13:07:10.673318
104,Robert Peralta,18,6,0,1,"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986",3.76,44%,2.97,53%,0.59,66%,65%,0.0,2017-12-09 13:07:13.540013
105,Ray Perales,13,22,0,0,"5' 10""",170 lbs.,nan,Orthodox,nan,0.18,25%,2.39,32%,0.00,0%,33%,0.0,2017-12-09 13:07:15.387659
106,Godofredo Pepey,14,5,0,0,"5' 7""",145 lbs.,"73""",Orthodox,"Jul 02, 1987",2.34,38%,3.19,46%,0.38,7%,35%,1.5,2017-12-09 13:07:17.354874
107,Jerron Peoples,4,3,0,0,"6' 0""",170 lbs.,nan,,"May 04, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:18.876166
108,Raquel Pennington,9,6,0,0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.80,51%,2.92,66%,1.43,43%,69%,1.3,2017-12-09 13:07:20.304166
109,Justin Pennington,2,2,0,0,"5' 4""",nan,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:23.367791
110,Nick Penner,12,3,0,0,"6' 4""",205 lbs.,"77""",Southpaw,"Mar 26, 1980",1.25,30%,4.60,38%,0.00,0%,40%,0.0,2017-12-09 13:07:25.211287
111,Jessica Penne,12,6,0,0,"5' 5""",115 lbs.,"67""",,"Jan 30, 1983",2.46,33%,4.73,48%,1.58,25%,20%,0.6,2017-12-09 13:07:28.287082
112,BJ Penn,16,12,2,0,"5' 9""",145 lbs.,"70""",Orthodox,"Dec 13, 1978",2.71,49%,3.12,56%,1.24,55%,75%,0.5,2017-12-09 13:07:30.026786
113,Cathal Pendred,17,5,1,0,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4,2017-12-09 13:07:32.589921
114,Drew Pendleton,4,0,0,0,nan,145 lbs.,nan,,"Dec 08, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:35.451459
115,Sherman Pendergarst,11,18,0,1,"6' 1""",235 lbs.,nan,Orthodox,"Aug 01, 1967",1.23,36%,3.08,16%,4.62,100%,0%,0.0,2017-12-09 13:07:38.321668
116,Julianna Pena,9,3,0,0,"5' 6""",135 lbs.,"69""",,"Aug 19, 1989",2.95,52%,1.20,44%,2.79,52%,22%,1.2,2017-12-09 13:07:40.572346
117,Yan Pellerin,9,13,0,0,"5' 11""",205 lbs.,nan,Orthodox,nan,0.59,25%,0.89,66%,4.43,100%,0%,0.0,2017-12-09 13:07:42.619183
118,Kurt Pellegrino,16,6,0,0,"5' 8""",155 lbs.,"70""",Orthodox,"May 07, 1979",2.45,43%,1.94,63%,2.90,54%,69%,0.8,2017-12-09 13:07:44.476793
119,Filip Pejic,10,2,1,0,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 21, 1992",0.00,0%,0.88,33%,0.00,0%,0%,0.0,2017-12-09 13:07:46.714121
120,Willie Peeters,9,10,1,0,"5' 9""",220 lbs.,nan,Orthodox,"Oct 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:49.581264
121,Tyson Pedro,6,1,0,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 17, 1991",2.49,60%,2.53,46%,1.29,100%,50%,0.6,2017-12-09 13:07:51.629287
122,Matt Pedro,3,1,0,0,nan,nan,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:54.499921
123,Andre Pederneiras,1,1,2,0,"5' 8""",155 lbs.,nan,Orthodox,"Mar 22, 1967",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:07:57.262193
124,Ross Pearson,21,14,0,1,"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",3.58,41%,3.72,63%,0.83,38%,75%,0.0,2017-12-09 13:07:59.788542
125,Joe Pearson,38,17,1,0,"5' 10""",145 lbs.,nan,Orthodox,"Mar 28, 1978",0.59,18%,3.51,33%,0.00,0%,0%,4.4,2017-12-09 13:08:01.662542
126,Roland Payne,0,1,0,0,"5' 9""",205 lbs.,nan,Orthodox,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:04.534432
127,Sarah Payant,1,4,0,0,"5' 4""",115 lbs.,nan,,nan,0.29,16%,2.06,30%,0.00,0%,0%,0.0,2017-12-09 13:08:07.809763
128,Estevan Payan,14,6,0,1,"5' 10""",145 lbs.,"72""",Orthodox,"Mar 14, 1982",4.25,42%,3.58,57%,0.36,100%,60%,0.4,2017-12-09 13:08:09.799619
129,Pawel Pawlak,11,2,0,0,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 08, 1989",1.67,33%,2.22,53%,1.00,37%,70%,0.0,2017-12-09 13:08:11.906352
130,Julio Paulino,17,4,0,0,"6' 0""",170 lbs.,nan,Orthodox,"Dec 04, 1975",0.97,27%,1.87,48%,0.00,0%,37%,0.5,2017-12-09 13:08:14.369267
131,Justin Patterson,9,3,0,0,"5' 10""",170 lbs.,nan,,"Dec 07, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:16.211892
132,Michael Patt,12,4,0,0,"6' 0""",205 lbs.,nan,Orthodox,nan,1.65,28%,5.53,55%,0.00,0%,0%,0.0,2017-12-09 13:08:18.139127
133,Alan Patrick,14,1,0,0,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983",1.90,40%,1.95,53%,3.52,37%,75%,0.5,2017-12-09 13:08:21.12714
134,Claude Patrick,14,2,0,0,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980",1.80,55%,0.89,69%,2.32,53%,84%,1.7,2017-12-09 13:08:23.990289
135,Russell Patrick,6,4,0,0,"5' 9""",145 lbs.,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:26.446011
136,Jorge Patino,25,13,1,1,"5' 8""",170 lbs.,nan,Orthodox,"Aug 05, 1973",1.33,30%,3.14,53%,0.54,25%,50%,0.0,2017-12-09 13:08:29.108877
137,Onassis Parungao,2,1,0,0,"5' 11""",200 lbs.,nan,,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:31.566107
138,Jordan Parsons,11,2,0,0,"5' 9""",145 lbs.,nan,,"Aug 26, 1990",3.29,40%,2.37,60%,1.54,21%,50%,1.0,2017-12-09 13:08:34.023164
139,Willie Parks,4,1,0,0,"5' 10""",185 lbs.,nan,,"Nov 04, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:36.07246
140,Tyra Parker,1,2,0,0,"5' 5""",115 lbs.,nan,Orthodox,nan,1.50,22%,9.00,14%,0.00,0%,0%,0.0,2017-12-09 13:08:38.733937
141,Larry Parker,13,6,1,0,"5' 11""",205 lbs.,nan,Orthodox,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:40.169916
142,Ryan Parker,0,1,0,0,"6' 3""",235 lbs.,nan,Southpaw,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:42.813392
143,Norman Parke,22,5,1,0,"5' 11""",155 lbs.,"70""",,"Dec 22, 1986",3.06,35%,2.88,64%,1.98,26%,77%,0.0,2017-12-09 13:08:45.911131
144,Won Sik Park,9,3,1,1,"5' 11""",154 lbs.,nan,Orthodox,nan,2.60,43%,2.20,47%,0.00,0%,0%,0.0,2017-12-09 13:08:48.359252
145,Karo Parisyan,19,8,0,1,"5' 10""",170 lbs.,"72""",Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,2017-12-09 13:08:50.602781
146,Ido Pariente,12,5,0,0,"5' 8""",155 lbs.,nan,Orthodox,nan,0.00,0%,2.86,45%,0.00,0%,0%,0.0,2017-12-09 13:08:53.071831
147,Remco Pardoel,9,6,1,2,"6' 3""",260 lbs.,nan,Southpaw,nan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2017-12-09 13:08:55.944123
